Ce,Nd,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Target
31.18,1.14,2.57,0.84,15.32,5.72,70.71,30.22,147.9,34.22,334.5,75.09,1
58.06352585,1.800557179,4.618157124,1.642295564,38.72252598,15.0925135,208.6056586,84.9802158,439.8659374,110.3558703,1180.192628,261.7843102,1
18.75,0.45,2.13,1.24,15.8,5.78,85.39,36.01,187.41,48.31,547.63,100.91,1
18.63270425,5.634340539,9.845456074,0.984234785,52.14503714,17.44519812,193.6800865,69.93526092,281.4210217,58.95873712,521.3328516,93.36706047,0
42.5,2.99,5.19,1.52,34.8,14.5,188,81.6,373,94,770,183.2,1
1.36,0.59,2.56,0.172,24.3,11.89,178.6,76.5,408,87.7,820,167.5,1
20.61,0.78,2.91,2.11,23.61,10.9,145.7,66.67,355.51,87.25,939.03,210.27,1
1.04,1.96,8.41,0.121,58.6,19.65,215.8,64.7,265,46.9,383,69.5,0
16.51,0.77,2.48,0.44,17.52,7.28,104,41.88,210.7,49.2,455.5,84.8,1
3.712,0.235,1.56,0.097,14.28,7.63,134.6,58.5,321.4,84,847,145.9,1
1.383,1.92,6.57,0.119,37.06,14.84,179.31,62.8,263.23,60.02,615.75,112.433,0
3.2,1.35,4,0.42,19.9,6.87,70.6,24.3,104,20.4,203,34.1,0
15,6.95,10.38,0.95,47.4,15.94,164.7,57.2,247,50.1,445,76.5,1
7.65,1.38,2.98,0.54,15.6,5.64,66.4,28.9,128,31.6,294,64.3,1
1.17,3.74,9.3,0.104,61.8,20,210,67.3,255,48.4,386,60.4,0
21.1,3.5,9.18,0.13,51.4,20.7,254,90.7,390,90.7,998,173,1
1.13,0.96,3.7,0.03,27.9,11.6,158,62.9,289,62.3,575,100,0
1.338125311,2.602348784,5.87975519,0.279253593,33.76099697,13.27156561,175.5704981,69.86656024,311.4855867,65.51596582,592.4555588,119.618485,0
21.96802991,3.228135351,9.755912725,0.83198593,67.59016774,27.08719666,312.9154636,144.298666,609.6261711,164.9232447,1209.254311,330.4206749,0
31.6,1.05,2.84,0.97,16.5,6.41,69.3,27.4,116,26.2,230,51.3,1
14.9,1.43,16.01,0.56,19.72,7.78,99.21,41.01,198.18,41.48,398.36,83.99,1
71.49584092,17.12994723,18.27816082,4.294583029,51.32472444,13.47597616,138.5315455,46.15951968,195.2180105,38.19793908,378.6665631,65.72676364,0
12.81264134,1.450020807,4.015508284,0.410989484,29.7431913,11.19246046,140.5600176,54.30626798,237.8447508,51.24383187,465.5054577,87.44573242,0
9.543842269,0.952110894,3.53965565,0.399403415,25.77049689,10.77079359,137.8311867,54.99192345,254.2495503,55.51194696,510.918057,97.01548953,0
2.37,4.48,11.2,0.194,69.4,24.7,309,103.4,445,84,691,121.5,0
18,0.64,1.21,0.66,8.5,3.07,37.2,15,79.4,20.1,224,48.4,1
2.816,2.02,3.51,0.164,19.6,7.160299798,83.7,32,142.5,28.76002203,266,53.7,0
29.35982159,3.318351112,4.700003794,0.495053451,24.44419144,10.17377737,133.9133356,49.39943419,231.8953808,49.9833109,536.5519204,88.24866921,0
1.69,5.01,8.93,0.284,41.3,14.33326119,158.3,58.1,253.4,50.85190387,455.5,92.7,0
